CòdClienteImpakto;CódProImpakto;Item;Qtde;$ Unitário;$ Total;Unidade;Setor;SETOR2
208831;90107;Purificador de ar lavanda 360 ml bom ar                ;2;16.9;33.8;XPTO;43;FGC
208831;21660;Limpador multiuso 500 ml gold veja promo                ;5;6.15;30.75;XPTO;43;FGC
208831;20805;Lustra moveis 200 ml lavanda destac                ;3;11.9;35.7;XPTO;43;FGC
208831;29183;Sabao em pedra 180 g glicerinado ype                ;4;3.39;13.56;XPTO;43;FGC
208831;20752;Desinfetante floral 5 l gold                ;1;22.95;22.95;XPTO;43;FGC
208831;20739;Detergente clear 500 ml ype                ;4;2.8;11.2;XPTO;48;PRADA ESCRITORIO
208831;21660;Limpador multiuso 500 ml gold veja promo                ;4;6.15;24.6;XPTO;48;PRADA ESCRITORIO
208831;69916;Sabonete liq. erva doce 5 l soft plus t-                ;1;24.8;24.8;XPTO;48;PRADA ESCRITORIO
208831;21248;Limpador festa flores bouquet 500 ml aja                ;4;10.5;42;XPTO;48;PRADA ESCRITORIO
208831;20740;Agua sanitaria 1 l super candida                ;4;3.89;15.56;XPTO;48;PRADA ESCRITORIO
208831;40042;Saco de lixo 60 l preto i.t                ;1;28;28;XPTO;48;PRADA ESCRITORIO
208831;20837;Alcool 70 desinfetante 1 l itaja                ;8;6.95;55.6;XPTO;53;CARTIER SHOPPING IGUATEMI
208831;21660;Limpador multiuso 500 ml gold veja promo                ;3;6.15;18.45;XPTO;53;CARTIER SHOPPING IGUATEMI
208831;20739;Detergente clear 500 ml ype                ;8;2.8;22.4;XPTO;53;CARTIER SHOPPING IGUATEMI
208831;32165;Esponja dupla face anti aderente azul re                ;8;1.69;13.52;XPTO;53;CARTIER SHOPPING IGUATEMI
208831;20740;Agua sanitaria 1 l super candida                ;3;3.89;11.67;XPTO;53;CARTIER SHOPPING IGUATEMI
208831;20073;Saponaceo cremoso classico 250 ml radium                ;3;8.85;26.55;XPTO;53;CARTIER SHOPPING IGUATEMI
